domain,n_points,mean,median,std,iqr,min,max,range,cv(%)
math,24,20.635,16.77,9.924344683217342,15.5625,8.38,39.5,31.119999999999997,48.09471617745258
engineer,24,13.807083333333333,14.265,10.54245845396714,18.23,2.0,39.88,37.88,76.35543437704419
human_social,24,8.845,8.99,3.4996546413461505,5.497499999999999,4.0,14.68,10.68,39.566474181414925
bio_med,24,8.63125,9.72,2.8822429558456273,5.175000000000001,4.1,13.21,9.110000000000001,33.393111725945
comp_ai,24,8.482916666666666,8.18,3.196719077791923,4.775,4.1,16.53,12.430000000000001,37.684197586819664
physics,24,3.75375,3.3899999999999997,2.3147463237854513,2.6675,-0.4,8.11,8.51,61.66490373054815
chemistry,24,3.752083333333333,2.9000000000000004,4.675355349588685,4.097499999999999,-7.14,16.52,23.66,124.60691659092554
other,24,2.0295833333333335,2.4299999999999997,1.5773188014631905,1.46,-0.26,6.92,7.18,77.7163852086154
